T:\DATA_2019\Etude_supercarburants_SVI\ech_01_hydro.D Fri Jan 10 12:35:05 2020,
Start of data points,Area
5.60918,280120
5.61298,241816
5.6168,211221
5.62062,193695
5.62443,193178
5.62825,213805
5.63205,255777
5.63587,316610
5.63968,394527
5.6435,482385
5.6473,571429
5.65112,658539
5.65493,746339
5.65875,831616
5.66255,919511
5.66637,1009518
5.67018,1092725
5.674,1150625
5.6778,1163313
5.68162,1120852
5.68543,1028004
5.68925,902862
5.69305,762071
5.69687,621158
5.70068,494692
5.7045,391729
5.7083,312309
5.71212,253374
5.71593,213890
5.71975,197375
5.72355,216326
5.72737,298322
5.73118,492099
5.735,862941
5.73882,1481001
5.74262,2389197
5.74643,3556413
5.75025,4858689
5.75407,6110888
5.75787,7119180
5.76168,7706640
5.7655,7779467
5.76932,7349542
5.77312,6542369
5.77693,5515733
5.78075,4446981
5.78457,3475703
5.78837,2698403
5.79218,2126938
5.796,1720840
5.79982,1428929
5.80362,1210780
5.80743,1039783
5.81125,900260
5.81507,784368
5.81887,688560
5.82268,612595
5.8265,559715
5.83032,531776
5.83412,528615
5.83793,548462
5.84175,590561
5.84557,653324
5.84937,739577
5.85318,846663
5.857,967940
5.86082,1090549
5.86463,1188515
5.86843,1245935
5.87225,1251107
5.87607,1202472
5.87988,1109382
5.88368,988476
5.8875,856317
5.89132,729852
5.89513,616221
5.89893,518517
5.90275,437184
5.90657,371085
5.91038,318252
5.91418,275286
5.918,240801
5.92182,212033
5.92563,187573
5.92943,166958
5.93325,150896
5.93707,139230
5.94088,134482
5.94468,138609
5.9485,149603
5.95232,163982
5.95613,178153
5.95993,190795
5.96375,200285
5.96757,205064
5.97138,207852
5.9752,211873
5.979,218883
5.98282,229054
5.98663,242924
5.99045,261517
5.99425,286243
5.99807,318681
6.00188,360612
6.0057,418988
6.0095,504010
6.01332,626105
6.01713,790477
6.02095,1001608
6.02475,1241156
6.02857,1477389
6.03238,1669548
6.0362,1777867
6.04,1778433
6.04382,1675105
6.04763,1496814
6.05145,1275018
6.05525,1042717
6.05907,826653
6.06288,644802
6.0667,503511
6.0705,397708
6.07432,319883
6.07813,263293
6.08195,220554
6.08577,188437
6.08957,163265
6.09338,144517
6.0972,129563
6.10102,118226
6.10482,107492
6.10863,97480
6.11245,88008
6.11627,79809
6.12007,72307
6.12388,67616
6.1277,68124
6.13152,76419
6.13532,93649
6.13913,121491
6.14295,160391
6.14677,211539
6.15057,274268
6.15438,345885
6.1582,421895
6.16202,494603
6.16582,555790
6.16963,598421
6.17345,618448
6.17727,612898
6.18107,581578
6.18488,527672
6.1887,460415
6.19252,388859
6.19632,319430
6.20013,256904
6.20395,204327
6.20777,162431
6.21158,129811
6.21538,105080
6.2192,86994
6.22302,74439
6.22683,66632
6.23063,63758
6.23445,66398
6.23827,75440
6.24208,91891
6.24588,115936
6.2497,148955
6.25352,194215
6.25733,253416
6.26113,323660
6.26495,399960
6.26877,476369
6.27258,539644
6.27638,576545
6.2802,581792
6.28402,557940
6.28783,510956
6.29163,448967
6.29545,382217
6.29927,319491
6.30308,265389
6.30688,221408
6.3107,187096
6.31452,162153
6.31833,147324
6.32215,142617
6.32595,149642
6.32977,169829
6.33358,204152
6.3374,249744
6.3412,300111
6.34502,346385
6.34883,381641
6.35265,402553
6.35645,409589
6.36027,409256
6.36408,413917
6.3679,439558
6.3717,501411
6.37552,605870
6.37933,746866
6.38315,905132
6.38695,1053777
6.39077,1160758
6.39458,1201997
6.3984,1170934
6.4022,1077293
6.40602,942063
6.40983,792447
6.41365,652076
6.41745,534303
6.42127,447074
6.42508,392300
6.4289,364725
6.43272,359862
6.43652,372345
6.44033,396421
6.44415,427048
6.44797,458742
6.45177,484012
6.45558,497613
6.4594,496603
6.46322,479688
6.46702,447358
6.47083,403810
6.47465,354170
6.47847,303060
6.48227,254392
6.48608,212207
